,30HAJ17CT003,30HAJ17CT001,30HAJ17CT002,30HAJ17CT012,30HAJ17CT010,30HAJ17CT011,30HAJ17CT006,30HAJ17CT004,30HAJ17CT005,30HAJ17CT015,30HAJ17CT013,30HAJ17CT014,30HAJ17CT007,30HAJ17CT008,30HAJ17CT009,30HAJ17CT016,30HAJ17CT017,30HAJ17CT018
Sat Apr 16 17:47:58  2016,724.4694,697.5244,698.2507,795.0163,769.7292,785.5609,698.1054,674.4787,664.5062,776.9711,712.7877,737.3303,622.4158,661.1411,639.5237,676.1032,711.2861,685.4265
Sat Apr 16 18:01:58  2016,772.0584,753.1924,757.0173,753.3732,731.666,746.0272,741.2988,738.6603,694.0396,738.9871,684.3563,702.0626,657.6779,684.2784,665.1839,654.8707,695.8709,670.9525
Sat Apr 16 18:16:57  2016,774.1274,737.3868,742.8104,753.7692,730.597,738.2094,737.6797,727.8302,692.4877,746.0272,680.1113,694.7541,650.0361,690.9476,663.7397,645.6475,683.4982,660.0753
Sat Apr 16 18:31:58  2016,779.0087,738.0742,742.6638,751.8577,717.4523,725.4806,739.7313,728.9998,692.4877,744.5144,679.0979,689.8204,651.3332,694.5755,665.4727,643.5872,685.9616,661.5186
Sat Apr 16 18:47:58  2016,789.3836,747.8005,761.7753,761.1744,777.1191,796.9949,756.4287,739.8328,705.8105,759.2596,708.4634,740.1596,657.2451,709.9867,680.9468,673.644,705.8999,684.1223
Sat Apr 16 19:01:58  2016,796.6632,776.243,785.5724,753.7125,752.9772,775.0939,763.1018,761.288,713.2809,750.6254,700.6537,720.7517,670.2409,716.8355,686.4522,661.9848,698.9658,679.3875
Sat Apr 16 19:16:38  2016,805.4476,731.6773,753.2376,762.0019,788.1733,818.5659,772.8427,731.3397,709.9307,739.2238,747.5856,768.4913,654.649,723.5482,689.497,694.4525,699.4464,696.5411
Sat Apr 16 19:31:38  2016,819.3373,732.5552,742.6638,739.3703,770.8991,806.812,780.9788,731.6323,704.9824,716.9025,742.8892,757.1417,650.4684,728.6624,695.5919,686.084,682.8072,689.4745
Sat Apr 16 19:47:38  2016,787.5003,760.302,770.6267,725.222,744.8416,764.2582,750.7386,752.9435,709.2026,712.7202,700.307,714.8614,661.7629,705.8105,675.6359,657.4999,675.0348,667.6616
Sat Apr 16 20:01:38  2016,805.0461,760.302,761.7753,740.7797,727.0204,733.3091,765.0186,748.9755,707.7469,733.7933,684.2446,693.8159,660.6082,714.2562,676.7935,645.8689,677.8285,660.0528
Sat Apr 16 20:16:38  2016,804.301,758.7272,760.7892,744.1982,723.9972,743.0245,766.9816,750.0039,713.7628,736.2823,690.6682,698.9432,664.4061,718.5295,681.4258,650.4792,685.4039,666.7391
Sat Apr 16 20:31:18  2016,820.3273,774.3661,775.9926,739.652,733.2528,751.1451,779.3957,764.1791,722.2227,733.8383,695.4575,708.3961,670.1852,727.4366,687.8461,654.8483,685.9836,667.8949
Sat Apr 16 20:47:19  2016,806.5828,759.9055,763.147,744.0966,724.6263,736.3273,765.8014,748.7268,708.9562,735.6401,685.9278,693.6149,662.0959,716.9252,677.5615,647.3979,685.7383,663.7504
Sat Apr 16 21:02:39  2016,802.8569,759.9507,760.3926,740.4751,719.8535,732.7125,763.6346,750.1959,712.2049,733.5905,685.9724,694.2401,660.9412,712.4067,675.5358,647.2538,682.5953,663.506
Sat Apr 16 21:17:38  2016,791.5534,746.2756,751.2698,749.6192,726.6155,740.6668,753.034,738.3109,704.0536,743.7466,687.9015,698.4961,656.1799,707.7469,672.3538,649.8915,686.9424,665.0945
Sat Apr 16 21:32:19  2016,799.4325,761.1292,763.7821,748.8846,724.4241,742.2797,760.8345,748.8737,712.642,744.6721,693.4138,697.4793,661.9517,711.2414,678.1404,651.2328,687.567,666.7279
Sat Apr 16 21:48:19  2016,797.3495,762.1154,768.9456,750.1051,725.6376,741.5916,757.8439,750.3429,707.7917,741.0051,689.5411,699.7031,661.2299,710.3676,675.5358,650.8005,689.597,667.0168
Sat Apr 16 22:02:18  2016,803.3038,757.1078,757.255,737.3412,733.6805,750.252,760.4946,746.5241,712.7429,733.0951,690.9916,703.919,661.6629,715.0298,675.9698,651.9536,685.2477,667.3058
Sat Apr 16 22:17:18  2016,792.593,748.8737,748.2862,743.4982,734.5588,750.8398,753.5769,742.1221,704.4452,735.1444,686.7862,703.1918,657.9109,712.8438,674.9571,650.5122,686.2623,664.1281
Sat Apr 16 22:32:19  2016,804.1979,772.4448,776.7322,748.4891,732.9487,749.2236,766.2439,759.4635,716.9699,743.2049,690.7015,701.8833,668.84,720.6733,685.0921,654.116,691.9181,672.3646
Sat Apr 16 22:47:59  2016,802.5132,764.3265,764.0317,746.727,732.217,747.9017,762.2628,752.0614,714.2,741.8849,692.8779,702.0287,662.7734,714.1105,676.3594,652.5302,687.567,667.3058
Sat Apr 16 23:01:59  2016,802.6622,756.9608,761.8206,749.8113,726.6604,741.8849,760.642,748.2411,710.7035,743.7917,688.381,696.6525,659.7422,714.6934,675.0573,647.9186,685.2477,662.8286
Sat Apr 16 23:16:59  2016,812.0583,767.674,766.9816,741.4449,723.1545,735.5837,769.8883,754.5612,712.1153,733.9732,690.9916,696.2168,664.795,719.6518,678.6749,648.639,685.9724,667.1613
Sat Apr 16 23:31:59  2016,806.0897,767.674,769.0025,753.3389,732.217,745.4058,763.9863,754.4141,710.5132,747.0206,689.2511,699.7031,664.795,716.7345,677.6617,649.9358,691.6279,665.8612
Sat Apr 16 23:47:59  2016,814.0002,765.461,765.9489,745.5526,731.3392,746.1398,772.2516,753.2376,716.4877,738.8064,693.4584,701.3018,666.8172,723.301,681.7155,652.5302,686.4072,666.8724
Sun Apr 17 00:01:58  2016,806.2387,765.0186,766.539,742.3248,727.9759,740.1255,763.1018,751.0325,712.8438,731.7781,690.7015,699.9938,662.6291,715.5681,676.6488,650.8005,685.2477,665.4279
Sun Apr 17 00:16:39  2016,814.7473,759.271,760.1547,738.6599,727.8297,734.5588,769.8883,746.7726,711.824,725.1993,687.3661,691.4269,661.9072,721.987,678.2407,648.639,681.0467,660.5189
Sun Apr 17 00:31:39  2016,800.5774,767.8216,767.8216,749.0767,719.9432,736.9017,762.2174,755.0026,713.2809,738.9529,690.2664,694.3293,665.5172,716.4429,680.2674,650.6564,689.3069,667.8837
Sun Apr 17 00:47:39  2016,802.2611,755.0477,755.7834,740.0804,721.8405,736.6088,760.2,744.1758,707.7917,734.998,686.8867,696.1722,659.7866,714.301,675.2464,648.3508,685.9278,664.6613
Sun Apr 17 01:01:39  2016,794.0788,756.372,755.4892,739.3475,720.9199,734.8066,755.1949,744.7628,705.7544,735.4373,687.9015,692.8333,658.0551,710.3676,673.9446,648.0627,682.3056,663.3617
Sun Apr 17 01:16:40  2016,802.158,770.5698,768.3552,742.8665,732.6111,753.4408,762.0133,758.6253,716.4315,741.5465,696.1722,706.9293,668.9289,719.7415,685.7162,657.3889,691.148,675.7914
Sun Apr 17 01:30:59  2016,807.076,774.4116,772.9336,746.7836,733.1514,749.2802,763.4872,757.8892,714.8279,742.2347,693.6595,703.1024,667.9174,717.5533,678.3297,652.2974,684.4341,664.1837
Sun Apr 17 01:46:59  2016,812.4947,774.9006,776.3795,753.3503,733.8383,743.2163,766.4822,756.4625,713.1238,739.8888,689.9875,698.9879,665.9392,718.3275,676.7822,651.4326,688.3031,664.7169
Sun Apr 17 01:47:19  2016,813.5403,778.4507,779.9308,751.8801,729.303,738.6713,767.5151,760.1433,715.0184,739.1559,688.2473,695.5021,667.6728,718.9109,677.7952,650.2795,687.7231,663.9949
Sun Apr 17 02:02:39  2016,808.6136,776.3795,774.0135,756.7339,736.9582,745.7559,765.0071,759.5541,717.0596,750.1617,693.0344,702.6215,669.5514,718.4733,679.5322,654.3159,692.5544,669.5289
Sun Apr 17 02:17:19  2016,821.3176,782.4485,776.2315,747.0772,728.9094,738.7163,775.3442,765.1545,723.1885,732.8588,691.9181,695.5468,672.5873,725.7728,684.4566,653.5949,688.2027,667.3614
Sun Apr 17 02:32:20  2016,805.4818,767.6626,768.253,752.4116,733.7819,744.04,759.7014,748.8171,709.4825,740.96,691.3823,700.5305,663.8729,716.3867,675.6247,652.7742,687.9573,665.6723
Sun Apr 17 02:48:20  2016,816.3341,779.1451,775.8903,745.6543,726.6155,738.3218,771.1606,762.4554,717.744,738.5133,690.6569,696.1722,670.5187,721.3468,681.0804,652.5302,687.567,665.7167
Sun Apr 17 03:02:19  2016,795.4165,757.5947,763.045,753.0449,734.1196,746.4333,755.8286,743.1489,704.3444,743.4982,692.8779,704.3553,659.0651,712.9895,674.0892,653.6835,689.3069,666.5834
Sun Apr 17 03:17:19  2016,809.8648,765.9489,762.5575,759.8144,733.2414,748.3423,767.1291,751.6656,713.9086,748.1954,694.3293,703.0464,665.5172,721.5491,680.4122,655.2697,696.5632,673.6661
Sun Apr 17 03:32:20  2016,809.0728,777.4263,777.1306,755.9867,726.3682,741.1517,766.1985,761.0386,717.8002,747.0206,693.1682,698.5408,669.8517,720.6733,683.1639,653.251,692.7888,670.6296
Sun Apr 17 03:48:00  2016,807.3859,761.1859,760.1547,747.7548,730.6078,743.3516,762.0247,748.0491,711.7792,738.998,695.2004,699.9938,662.4403,716.8355,676.4596,653.872,689.162,669.0397
Sun Apr 17 04:02:00  2016,807.1909,775.458,773.684,749.3705,726.3682,744.0851,765.7106,760.6534,716.8803,735.7751,693.1682,699.9938,669.4738,720.7295,682.6403,654.4488,691.3823,671.1078
Sun Apr 17 04:17:00  2016,804.6106,762.8637,761.6846,750.4442,737.9723,748.5343,762.7163,751.6318,715.2317,749.5626,695.971,703.6729,664.8062,719.2254,679.1204,655.1698,690.6569,670.2404
Sun Apr 17 04:32:00  2016,797.4641,754.8669,753.9843,768.4116,734.6038,750.5911,756.7797,743.2619,708.9228,760.3016,699.1666,704.4,659.709,715.3888,678.8309,657.6218,700.9664,674.8677
Sun Apr 17 04:48:00  2016,803.8197,759.4297,760.0189,750.1503,732.262,745.7445,759.679,745.7113,710.0428,742.9566,694.2288,702.9457,659.2762,714.0769,673.1437,651.8538,687.0316,663.8837
Sun Apr 17 05:01:40  2016,796.5261,757.8101,752.4687,755.1492,724.952,735.3359,754.3804,743.3635,708.4413,743.1033,689.7308,695.3902,655.8139,711.163,670.6857,648.107,686.5967,661.718
Sun Apr 17 05:16:40  2016,808.2924,764.9847,762.4783,757.5037,742.5165,756.6207,764.5422,748.7948,712.2275,751.3259,696.8423,709.2021,660.6749,716.2188,674.7347,655.7467,689.9317,667.2057
Sun Apr 17 05:31:40  2016,808.0974,771.3313,765.2796,753.6331,733.9732,746.8738,762.7731,754.4822,716.4542,743.25,693.7487,703.6281,662.4072,714.9067,674.1117,651.4213,687.277,663.1173
Sun Apr 17 05:47:40  2016,805.8605,763.5102,761.8888,754.0743,735.1444,745.6994,761.5941,748.4559,712.8103,745.6994,693.3133,701.7379,660.6749,714.6152,672.6655,651.6653,690.3223,667.8837
Sun Apr 17 06:01:40  2016,799.3067,759.3844,761.8888,775.412,751.8235,771.717,760.9595,746.5469,709.998,766.4478,707.0749,717.2725,661.2523,717.0937,679.0314,665.2278,704.6575,678.6857
Sun Apr 17 06:16:40  2016,808.9925,769.8544,768.0829,769.2065,741.3999,755.9415,767.7423,757.278,718.0135,763.3055,700.0944,710.7144,667.173,723.3687,683.8105,659.4088,700.3964,675.8916
Sun Apr 17 06:31:00  2016,816.6104,766.0171,764.5422,757.8096,744.4351,756.1906,772.3201,752.7175,715.8261,753.1014,697.2894,708.9223,665.0062,723.9528,681.4929,657.6331,693.7154,672.2756
Sun Apr 17 06:31:20  2016,816.4608,766.7548,764.5422,757.0735,743.4081,754.4251,772.0245,753.7468,716.2635,749.574,697.2894,708.1944,665.1507,724.0989,681.3481,657.2003,693.4251,672.2756
Sun Apr 17 06:47:20  2016,805.2642,766.1647,763.2153,759.8258,735.7415,752.4681,766.1647,753.5998,714.9963,751.4844,696.2281,706.6943,666.4507,722.9306,682.9413,657.6331,696.4293,675.5577
Sun Apr 17 07:02:00  2016,807.0533,763.5102,761.8888,768.7751,754.1876,765.9713,767.9354,749.3372,715.7252,764.9388,704.6128,718.4507,663.9954,719.5734,680.9136,664.7614,702.0513,678.2627
Sun Apr 17 07:17:01  2016,811.978,777.6883,770.4451,758.5119,735.8993,754.9797,770.8882,759.1919,717.4749,751.7897,699.5804,709.908,666.4507,720.303,680.3344,658.9427,695.8597,673.11
Sun Apr 17 07:32:00  2016,803.6707,772.8088,765.5746,751.5524,730.8782,743.476,762.0363,758.3538,714.8505,745.2368,694.4525,702.5881,667.5063,720.9316,680.9581,654.9594,692.2867,672.4427
Sun Apr 17 07:48:00  2016,803.6707,761.5941,761.4468,757.6852,730.5406,747.9811,763.6576,748.7948,711.7905,751.0662,699.491,703.5613,663.3177,720.9316,680.8133,655.0592,695.7704,676.2034
Sun Apr 17 08:01:41  2016,817.105,797.8646,810.3816,776.8232,806.5254,840.3837,778.7242,787.3179,742.1901,767.1177,761.1744,782.5966,685.5939,730.5747,696.7648,704.434,712.7429,703.5726
Sun Apr 17 08:16:40  2016,801.7344,735.3027,753.249,760.2452,802.7537,843.6506,768.9685,742.0434,720.2468,742.5057,776.7776,789.3721,657.8333,721.0776,697.7815,712.6868,708.9115,713.8638
Sun Apr 17 08:31:40  2016,833.8938,752.0728,770.7859,778.0637,794.2274,829.9198,793.4503,750.4109,730.811,753.034,771.1152,785.1731,667.2174,742.5849,711.6,710.457,710.0315,717.9012
Sun Apr 17 08:47:40  2016,852.6214,746.1968,768.1283,765.8014,800.6232,842.851,810.726,750.7501,730.2259,737.1388,789.6233,790.6625,664.5173,760.2682,726.38,714.9288,701.0116,709.7403
Sun Apr 17 09:01:41  2016,880.5272,776.2545,792.4103,758.5347,818.6352,855.1786,836.6456,783.2123,751.6318,734.2101,817.4384,813.7013,683.7547,787.3179,744.097,739.4832,702.1299,726.1776
Sun Apr 17 09:16:21  2016,863.5145,742.6752,799.1464,800.5774,818.9343,883.2573,839.5038,760.608,767.2428,803.854,830.1738,822.0779,687.2328,799.3525,758.5009,752.7965,738.4688,754.1766
Sun Apr 17 09:31:20  2016,861.4403,745.9484,808.5333,828.3732,810.7144,871.2393,841.5071,760.3135,777.1874,826.4695,831.3749,810.1174,692.3092,798.0134,762.3309,749.6082,766.6979,765.3702
Sun Apr 17 09:47:20  2016,870.9941,778.5192,849.4969,862.0344,803.4529,864.7618,844.9722,809.4286,834.2867,863.3978,853.5626,813.2991,731.3961,804.1636,778.4737,768.3098,785.2302,795.1764
Sun Apr 17 10:01:21  2016,904.7149,811.0706,875.2953,882.5422,819.7286,869.3123,883.1635,837.1431,863.5612,877.2606,861.1257,826.1696,761.4921,849.9034,838.902,776.3339,804.5991,820.8801
Sun Apr 17 10:16:21  2016,973.5712,812.0123,869.6743,923.5027,819.3257,853.3068,936.173,815.5522,865.7299,900.6602,846.2129,825.4662,764.8825,873.3779,837.2471,766.1871,821.3752,830.3702
Sun Apr 17 10:31:21  2016,959.7493,838.9944,917.8171,905.1039,816.0811,859.0994,929.8385,861.0327,909.2108,882.3779,855.7715,824.7629,808.235,883.1635,852.2147,774.3546,818.7271,834.4715
Sun Apr 17 10:47:01  2016,947.6807,834.5294,905.2691,915.2849,816.8746,859.9027,918.0184,849.4389,894.8575,888.1719,864.4468,821.9625,797.2581,873.4713,845.9231,779.9764,817.6799,835.674
Sun Apr 17 11:01:01  2016,958.2417,832.426,890.8848,916.2076,815.5289,854.6086,926.1829,840.5458,878.0799,896.116,850.3792,820.7646,783.8962,876.816,846.677,772.2856,820.074,840.4879
Sun Apr 17 11:16:01  2016,960.8863,822.2737,893.5288,916.468,825.8121,868.0399,936.7321,839.3417,884.2185,894.2811,871.2275,835.2692,788.79,885.2388,846.2245,789.7602,819.3257,839.7352
Sun Apr 17 11:16:21  2016,959.3304,823.7716,894.9046,917.0833,825.6622,867.7365,936.2681,842.6541,885.1332,896.4219,870.1646,836.3216,789.3836,884.5821,846.3754,789.6117,819.7746,840.4879
Sun Apr 17 11:31:22  2016,954.5588,801.3676,861.4286,866.8263,814.7816,871.1223,925.9219,796.0112,835.6277,841.9354,854.7134,821.1678,751.0325,873.518,826.2735,770.6606,793.9759,814.0921
Sun Apr 17 11:48:41  2016,952.0736,786.9982,822.0202,852.1912,805.2294,860.054,920.3745,772.5926,795.2679,839.3763,849.9263,812.0925,714.7383,867.4448,812.6557,766.8226,774.4116,792.4902
Sun Apr 17 12:02:41  2016,863.899,747.8907,807.5234,825.962,809.0612,860.4618,838.381,752.5928,785.0705,820.7646,827.7615,806.8237,705.4634,796.9034,754.6064,754.595,744.5144,758.9198
Sun Apr 17 12:17:01  2016,869.9662,764.6667,838.381,842.1904,833.7664,896.222,864.6569,781.218,790.2628,837.8255,857.1326,832.2642,720.6171,823.7716,773.3315,783.1893,759.4635,765.5063
Sun Apr 17 12:32:02  2016,874.0674,753.6221,825.766,827.6116,831.2131,896.222,863.1414,767.322,780.7737,822.8151,853.2023,830.1622,711.7231,817.3349,759.1691,782.1522,754.6064,760.9365
Sun Apr 17 12:47:41  2016,820.3734,737.3303,795.1649,791.6447,752.6381,817.8756,806.9269,749.0657,751.4168,777.267,779.7828,762.6481,685.2815,777.0281,741.8289,712.3954,727.6277,732.3075
Sun Apr 17 13:01:42  2016,855.4227,746.8629,812.7475,801.4592,847.1641,902.1918,844.2533,756.5644,776.6298,804.8856,844.7517,828.0615,707.2095,800.4744,754.6064,777.4149,736.9923,744.0291
Sun Apr 17 13:16:41  2016,891.1314,791.8961,872.5479,850.3328,832.5646,903.1112,879.0866,806.4796,821.2715,848.2663,871.3795,834.2172,743.4423,832.7726,782.0612,795.9996,773.0814,780.7737
Sun Apr 17 13:31:42  2016,919.8061,785.3671,851.3433,862.3255,846.6072,904.3844,902.298,800.669,841.2406,855.3644,884.0543,854.0041,751.0777,852.203,813.1497,804.6332,778.2572,811.2542
Sun Apr 17 13:47:42  2016,964.2514,817.3809,876.348,885.1213,834.4135,883.4446,936.6249,819.9243,858.2963,871.7298,860.9625,844.3459,764.871,884.7814,847.9301,787.0894,800.8636,822.6653
Sun Apr 17 14:01:41  2016,945.8676,806.7778,864.2021,878.8757,829.4579,884.9688,923.0405,823.9214,845.3083,860.5547,872.0336,844.1951,754.1199,878.993,841.5997,798.5737,793.9759,817.6799
Sun Apr 17 14:16:22  2016,946.0227,820.3734,881.0658,887.6673,837.9759,879.59,925.6135,834.8762,854.6204,866.5695,862.1276,848.0692,765.0186,883.1048,843.5579,790.3539,797.2009,820.0279
Sun Apr 17 14:31:22  2016,900.8723,764.9617,808.1201,817.4268,811.1508,878.2203,872.3493,751.5186,774.2183,797.2922,829.2618,796.4,698.8765,832.1257,779.2021,757.4927,745.937,759.7581
Sun Apr 17 14:47:22  2016,882.5422,765.1092,836.2753,835.6277,826.3196,894.446,863.7009,775.549,796.0112,829.2156,844.3577,827.6692,722.0319,819.6826,771.2175,775.1509,769.1047,781.97
Sun Apr 17 15:01:22  2016,900.1067,768.3552,837.0272,836.0325,830.6242,902.5101,875.8918,780.7282,801.1157,830.9706,863.1998,833.0269,721.302,823.1263,774.7642,793.1873,767.4357,782.2208
Sun Apr 17 15:16:22  2016,938.9454,801.5623,869.0555,846.8278,817.8412,886.4119,911.5022,811.5528,856.4812,834.0323,867.7015,829.0772,763.1018,855.481,814.7473,792.3531,783.9532,813.1154
Sun Apr 17 15:31:02  2016,964.2514,833.7202,897.3987,887.7379,841.3566,876.0088,943.5906,846.6653,873.0037,876.9214,857.3538,849.0443,781.7649,896.7397,856.5859,787.8542,803.3727,834.6451
Sun Apr 17 15:47:02  2016,958.1818,831.9177,910.8878,888.1488,831.837,887.2333,938.9454,846.0621,889.1465,874.3365,869.2774,841.9127,797.4984,892.3064,852.354,792.4561,809.291,835.6511
Sun Apr 17 16:01:02  2016,956.7824,844.8561,916.8821,916.7994,840.8586,892.2712,944.0554,864.2021,894.1873,897.8226,881.2886,850.5071,802.4101,905.9297,874.7807,803.7623,819.4525,843.6276
Sun Apr 17 16:16:02  2016,968.147,850.7393,929.6721,929.7435,869.4291,922.8035,968.147,865.1116,910.4271,908.7031,914.9541,875.3539,812.2535,916.8348,888.1838,836.3912,827.8425,850.7163
Sun Apr 17 16:31:03  2016,980.325,849.6827,921.808,943.1975,878.3961,920.8011,973.6071,863.1414,899.2352,913.0031,906.5079,884.7933,805.092,919.9127,883.7613,827.9808,834.4485,857.8193
Sun Apr 17 16:48:03  2016,1004.6263,851.0877,928.022,937.3152,876.2662,920.3392,995.9883,860.8694,909.0455,908.9629,912.0341,881.1362,810.6111,926.076,890.4736,831.3865,827.8425,856.4581
Sun Apr 17 17:02:02  2016,985.8008,848.9744,922.3175,954.3677,863.5145,907.8886,982.2015,854.2136,904.5968,922.6495,902.6753,867.9116,799.7302,926.8472,891.2371,821.191,837.6059,861.3007
Sun Apr 17 17:17:02  2016,999.7556,847.9183,922.6256,948.9338,869.4291,920.3392,992.8513,852.0984,904.7501,918.4919,907.5817,874.7457,801.5165,929.0073,893.2233,824.3365,837.3051,863.1183
Sun Apr 17 17:32:02  2016,953.5191,799.6729,883.093,895.4811,891.9658,938.398,951.9661,799.0317,864.0507,872.9221,891.9658,867.3049,763.4419,890.6263,834.275,819.6942,799.6043,817.6572
Sun Apr 17 17:32:22  2016,952.7426,796.5486,879.4379,896.0927,887.5385,937.1605,952.4319,796.6517,864.0507,873.9857,891.6603,865.7883,762.5575,890.9318,834.5756,818.4971,799.6043,817.6572
Sun Apr 17 17:48:22  2016,944.0554,824.3133,913.8542,897.6695,910.5454,956.4358,944.8302,827.8654,897.0927,879.356,919.1549,886.67,794.2274,898.8819,852.0519,849.4969,805.0118,828.4886
Sun Apr 17 18:02:23  2016,977.5115,825.3624,913.5468,915.0013,914.2327,952.3962,976.2617,829.3657,897.8577,891.907,931.1805,896.1398,792.593,913.2986,864.6102,863.6077,810.726,834.9919
Sun Apr 17 18:16:42  2016,949.9482,819.0264,904.7972,883.6675,908.7504,930.456,944.2104,818.7271,882.5891,865.9281,913.9725,881.9915,781.1724,885.1332,829.7698,840.9974,797.2124,811.2198
Sun Apr 17 18:31:42  2016,967.9911,829.0656,916.1131,900.3658,924.7951,947.3705,965.1861,835.5236,899.2352,879.8008,935.6021,902.8166,796.1599,902.7104,855.0739,862.7919,806.4911,827.277
Sun Apr 17 18:47:43  2016,952.2767,845.7606,922.2701,897.9637,917.4503,968.0992,956.316,850.8903,899.2352,872.9569,942.1489,895.6691,793.633,896.5867,863.5494,860.2173,803.9572,837.4901
Sun Apr 17 18:48:03  2016,957.2488,846.6653,922.7323,897.1987,911.6086,939.5168,962.3829,852.5515,900.1537,872.6531,937.5054,893.8345,793.9302,898.7289,865.6714,856.8884,804.2551,839.2954
Sun Apr 17 19:02:03  2016,974.8562,850.7393,936.4703,923.0998,886.6113,939.4692,977.1991,861.1723,916.8821,902.2509,932.6657,885.6962,811.059,912.6839,877.8224,845.7142,822.3314,853.3185
Sun Apr 17 19:16:23  2016,963.4727,806.7778,873.3076,872.4544,921.5592,928.9598,956.316,781.8105,848.4753,854.8763,891.8011,870.1764,749.4613,874.3247,806.2846,816.3917,784.8882,800.0393
Sun Apr 17 19:31:23  2016,960.3596,790.5597,844.4041,868.9154,898.4817,927.0608,951.1899,761.7186,825.4662,847.9301,874.8392,857.2491,732.4538,872.3493,794.5247,800.1309,783.6569,789.2924
Sun Apr 17 19:47:23  2016,916.5272,822.9188,911.3486,853.5743,898.4346,946.1897,909.9665,822.723,858.145,839.145,889.722,875.2485,771.3652,853.6672,806.2387,814.4025,783.0186,799.3525
Sun Apr 17 19:47:43  2016,913.606,816.6332,905.3634,851.4596,896.1398,941.5414,907.8176,819.1301,855.4227,837.1892,887.2802,873.7285,768.7072,853.0629,805.4933,812.9085,782.5741,798.0134
Sun Apr 17 20:01:43  2016,914.6819,785.2188,874.9794,822.0895,908.1956,945.6769,912.2703,791.4048,837.7792,820.1891,862.3026,872.1625,747.3599,853.0629,797.8988,799.8905,764.9393,774.537
Sun Apr 17 20:16:23  2016,888.4891,778.1093,860.8694,822.2392,880.0703,924.8071,891.1314,772.7403,817.5304,816.4033,845.8303,842.8163,735.0435,832.5762,777.1306,782.916,754.437,762.0929
Sun Apr 17 20:31:03  2016,880.7145,757.8892,841.5417,787.0212,854.3881,910.4509,876.348,764.7689,788.1849,771.7745,821.145,826.8388,707.7469,818.1863,753.0905,762.0363,738.7281,750.7614
Sun Apr 17 20:47:03  2016,880.7145,764.8143,807.9709,776.0156,841.2176,904.4202,863.899,757.6967,767.027,741.4568,837.6059,825.1436,692.923,811.3116,754.4141,767.0499,718.7991,746.8971
Sun Apr 17 21:01:04  2016,872.3493,781.0699,832.3683,797.6701,883.6324,924.5581,856.7836,779.3957,790.7081,759.3392,856.4581,854.4928,711.9697,812.357,772.3994,791.7249,727.1221,755.5687
Sun Apr 17 21:01:43  2016,872.9569,781.0699,831.1669,797.3726,887.7498,936.9106,858.145,779.0997,789.6689,758.4556,856.1556,856.7606,710.8044,812.9543,772.8427,791.4279,727.2682,755.4216
Sun Apr 17 21:16:03  2016,883.3041,776.3339,815.1382,777.6428,839.5618,893.5526,862.6869,768.3098,767.9124,743.1717,830.5435,824.9937,695.2455,805.6425,749.5631,758.8973,719.3827,744.8421
Sun Apr 17 21:31:04  2016,877.8224,791.4506,837.1776,789.0527,881.3472,925.6373,856.1322,793.9302,789.6233,752.1295,834.8995,849.0559,714.1553,811.7596,770.3313,777.4949,728.73,752.186
Sun Apr 17 21:48:04  2016,903.7832,793.7816,830.9706,794.399,801.0929,838.8094,882.5422,785.4697,780.284,761.2542,797.0751,796.4803,704.8369,821.1794,762.6595,727.6504,733.7037,756.4515
Sun Apr 17 22:02:03  2016,875.2368,770.0814,807.9251,787.8657,847.5472,903.6537,857.1909,769.1955,760.9365,752.4687,830.9938,826.7927,692.6328,808.3267,761.1859,762.4783,722.9306,748.5576
Sun Apr 17 22:17:03  2016,890.1683,785.4697,824.9704,820.8456,865.2867,918.5984,875.0848,781.913,772.2971,780.3981,857.8659,843.0713,698.396,823.0803,769.593,780.5461,745.6661,774.2413
Sun Apr 17 22:31:43  2016,892.2594,774.0705,817.1853,806.1013,853.0746,909.884,875.2368,767.9692,768.9002,769.4568,851.7151,837.6984,695.2009,820.2352,761.5826,774.48,739.2128,766.5618
Sun Apr 17 22:47:43  2016,868.2033,776.2885,810.1633,769.6046,762.8184,813.8624,844.9604,772.5471,761.968,742.2351,775.6629,765.7675,688.9615,794.5818,741.592,703.5392,722.3914,737.894
Sun Apr 17 23:01:44  2016,744.7177,713.18,721.3468,787.1695,753.645,780.2045,726.9982,684.2227,679.2985,775.9587,718.9336,729.4497,634.5327,701.3024,656.424,673.088,727.358,705.0496
Sun Apr 17 23:16:43  2016,780.2385,766.9362,781.1724,770.4451,729.5959,757.0288,768.412,735.6292,706.5827,753.3509,703.2036,706.9858,671.4418,711.3422,672.0201,664.8062,727.8978,697.1559
Sun Apr 17 23:17:04  2016,781.7194,769.9338,784.1356,766.3121,724.7729,751.2927,769.4454,738.7054,708.3292,749.3824,699.8602,702.622,673.3216,713.3818,673.3216,661.4854,725.2674,695.2681
Sun Apr 17 23:31:43  2016,799.5355,810.7144,832.426,736.7672,718.2042,739.9908,784.3864,775.5035,731.9699,733.546,697.3904,686.653,695.6365,738.2208,690.8471,650.8121,700.6428,680.7688
Sun Apr 17 23:47:43  2016,795.2222,791.9532,816.0927,741.7501,716.1625,737.4996,778.4622,763.544,723.0539,741.0169,694.9218,686.0732,686.9317,739.8328,684.6128,650.5239,702.9688,679.321
